"","DO","Solar radiation","Precipitation","pH","Temp","TN","TP","Chl.a","TNTP","NONH","Turb","Cyano","category"
"1",7.96,16.81,0,8.19,20.7,0.701,0.08,20.7,8.76,0.81,14.4,12966,"high alert"
"2",6.08,27.43,0.24,8.45,27.1,0.795,0.186,18.8,4.27,1.4,18.3,1127,"low"
"3",7.47,28.01,0.08,8.35,25.4,1.096,0.16,29.1,6.85,26.67,16.6,1437,"low"
"4",8.48,11.02,0.03,8.33,17.1,1.039,0.09,11.1,11.54,1.25,23.3,4196,"medium"
"5",11.6,19.97,0.03,8.76,8.4,0.775,0.11,32.3,7.05,2.1,15,1,"safe"
"6",12.62,22.02,0,8.58,5.5,1.31,0.09,70.4,14.56,0.33,16.8,3232,"medium"
"7",7.03,15.77,16.18,8.29,25.6,1.107,0.215,12.4,5.15,9.49,21,643,"low"
"8",9.7,11.16,0.86,8.33,9.7,1.062,0.09,2.8,11.8,5.67,15.1,27,"safe"
"9",8.29,25.79,0,8.16,13.9,1.066,0.083,3.5,12.84,0.48,30.8,555,"low"
"10",5.4,20.15,3.13,7.97,27.9,0.54,0.19,2.3,2.84,0.02,30.4,1,"safe"
"11",16.71,16.19,0.02,9.1,0.7,1.216,0.1,110.2,12.16,9.33,9.9,12,"safe"
"12",8.79,12.55,0,7.87,14.1,0.846,0.07,10.1,12.09,0.42,12.8,1,"safe"
"13",11.3,10.36,0,8.61,5.7,0.659,0.13,10.1,5.07,0.88,16.7,1,"safe"
"14",6.81,25.02,0.41,8.51,25,1.169,0.07,12.2,16.7,4.88,13.2,6213,"medium"
"15",10.37,23.14,0,8.58,9.2,0.825,0.063,24.9,13.1,1.5,11.2,12490,"high alert"
"16",7.16,26.09,0,8.94,29.4,0.939,0.23,16.4,4.08,12,21.9,18719,"high alert"
"17",8.94,26.5,0.1,8.12,18.3,0.765,0.06,14.9,12.75,0.71,8.7,3237,"medium"
"18",8.3,12.85,0.04,8.33,14.8,0.739,0.08,5.4,9.24,0.29,21.8,405,"safe"
"19",5.3,24.34,0.14,8.75,26.4,0.643,0.22,2.4,2.92,0.55,30.3,2685,"medium"
"20",6.26,25.22,0,8.35,25.9,0.769,0.1,17.4,7.69,6.32,10.2,15018,"high alert"
"21",10.12,27.18,0,8.78,25,0.629,0.05,9.3,12.58,0.33,4.3,14313,"high alert"
"22",15.2,11.28,0,8.61,0.9,1.016,0.04,22.4,25.4,14.67,8.5,6390,"medium"
"23",6.68,22.21,4.24,8.29,26.8,0.871,0.117,15.6,7.44,4.25,22.2,14652,"high alert"
"24",11.57,10.07,0,8.4,0.9,1.139,0.1,2.8,11.39,6.44,12,1,"safe"
"25",6.4,22.39,0,8.11,24.5,1.072,0.227,4.2,4.72,7.83,29.8,656,"low"
"26",12.72,15,0,8.25,1.6,1.416,0.21,1.7,6.74,8.45,32.6,1,"safe"
"27",8,6.59,1.24,8.27,17.3,0.92,0.07,4,13.14,24.67,20.3,1,"safe"
"28",10.4,10.69,0,8.19,3.9,1.089,0.088,15,12.38,1.5,7.6,8377,"high alert"
"29",10.96,10.48,0,8.22,5.3,1.021,0.09,6.7,11.34,12,13.1,4754,"medium"
"30",15.16,12.63,0,8.59,0.7,0.835,0.015,47.2,55.67,3,6.9,8705,"high alert"
"31",12.21,16.76,0.01,8.42,5.3,0.751,0.04,21.9,18.78,4.67,4.9,1880,"low"
"32",7.41,18.59,0,8.71,18.4,0.718,0.22,8,3.26,0.51,33.6,280,"safe"
"33",9.4,28.51,0,8.04,16.1,1.035,0.113,2.2,9.16,4.88,20.9,84,"safe"
"34",5.77,23.14,1.32,8.13,25.1,0.771,0.1,3.8,7.71,3,14.5,5542,"medium"
"35",5.69,24.54,0,8.19,24.1,0.651,0.19,3.4,3.43,1.82,17.4,878,"low"
"36",16.95,18.01,0,8.92,2.4,1.106,0.08,73.5,13.83,0.11,11.8,9,"safe"
"37",11.39,17.44,0.01,8.48,7.2,0.692,0.07,19.8,9.89,0.33,14.5,1,"safe"
"38",10.83,24.62,0,8.39,7.7,0.77,0.09,20.8,8.56,0.5,17.7,4767,"medium"
"39",12.63,14.3,0.02,8.29,1.8,0.948,0.158,9.2,6.02,8.74,19.2,1,"safe"
"40",16.8,5.81,0.07,9.08,0.6,1.201,0.09,65.2,13.34,27.33,8,2855,"medium"
