,PRECTOT,ALLSKY_SFC_SW_DWN,Chl-a,sin,TKN,DP,Turb,Temp,Cyano
0,0.0,22.02,70.4,0.97,0.95,0.09,16.8,5.5,3232
1,0.02,16.38,12.3,0.93,0.6509999999999999,0.015,19.5,6.4,412
2,3.01,25.56,14.7,-0.44,1.236,0.052000000000000005,35.8,27.9,14271
3,0.01,17.44,19.8,0.97,0.5870000000000001,0.015,14.5,7.2,1
4,0.15,20.21,32.9,-0.98,0.7020000000000001,0.22,31.9,19.4,1526
5,12.04,26.96,6.6,0.28,0.792,0.06,15.0,23.5,5847
6,0.08,28.01,29.1,0.15,0.696,0.11,16.6,25.4,1437
7,0.0,27.57,26.9,-0.35,0.8270000000000001,0.08,19.6,26.3,9229
8,0.0,28.51,2.2,0.83,0.645,0.033,20.9,16.1,84
9,0.0,11.8,15.5,-0.89,0.5529999999999999,0.04,13.6,16.8,11406
10,0.5,16.99,1.2,0.81,0.753,0.044000000000000004,9.5,18.1,22
11,0.02,19.74,14.0,0.93,0.633,0.015,1.5,2.5,91
12,9.12,25.74,21.0,-0.57,0.643,0.1,22.4,26.0,17286
13,0.01,16.76,21.9,0.82,0.6809999999999999,0.015,4.9,5.3,1880
14,0.0,25.81,14.9,-0.69,0.6970000000000001,0.06,16.8,27.9,2634
15,0.0,20.92,18.6,-0.95,0.672,0.06,10.7,23.8,9120
16,1.1,20.14,33.5,-0.6,0.581,0.16,35.4,27.7,40298
17,0.0,28.19,3.6,0.03,0.8390000000000001,0.11,21.0,26.7,1251
18,1.66,22.72,12.5,-0.67,0.685,0.033,23.1,24.8,930
19,0.0,10.48,6.7,-0.46,0.541,0.06,13.1,5.3,4754
20,0.24,17.27,80.9,0.81,1.227,0.03,12.0,1.0,1
21,0.05,21.56,8.0,0.99,0.79,0.13,67.3,14.4,1
22,1.89,23.73,1.2,0.69,0.772,0.08,21.0,17.6,1
23,0.0,14.54,8.1,-0.9,0.743,0.015,14.5,14.5,1839
24,0.18,13.21,8.7,0.65,0.556,0.015,1.6,1.2,2228
25,0.0,24.62,20.8,0.99,0.75,0.03,17.7,7.7,4767
26,0.08,21.37,10.0,-0.5,0.516,0.12,15.9,27.5,285
27,0.0,25.79,3.5,0.88,0.966,0.038,30.8,13.9,555
28,13.13,27.4,2.7,0.52,0.912,0.114,20.5,21.3,18
29,0.0,25.03,3.8,-0.82,0.5379999999999999,0.18,37.8,26.0,1
30,1.32,23.14,3.8,-0.56,0.591,0.08,14.5,25.1,5542
31,0.7,10.05,10.6,0.57,0.7859999999999999,0.081,32.9,22.1,3824
32,0.0,25.22,17.4,-0.56,0.66,0.08,10.2,25.9,15018
33,4.9,17.95,10.9,-0.89,0.722,0.06,13.4,25.1,7519
34,0.01,11.48,21.8,0.19,0.728,0.015,5.1,4.2,8920
35,0.0,10.07,2.8,-0.26,0.5589999999999999,0.09,12.0,0.9,1
36,0.01,7.99,11.7,-0.97,0.6829999999999999,0.04,22.2,18.9,10955
37,0.0,11.2,8.1,0.39,0.556,0.015,3.6,2.1,24537
38,0.0,26.09,16.4,-0.5,0.579,0.19,21.9,29.4,18719
39,0.0,12.63,47.2,0.54,0.745,0.04,6.9,0.7,8705
40,0.0,7.95,1.7,0.21,0.713,0.08,6.7,0.8,1
41,0.0,13.39,12.7,-0.74,0.682,0.03,18.3,11.9,7788
42,7.87,7.21,32.1,0.93,0.915,0.015,13.4,5.7,1
43,0.0,22.07,3.1,-0.59,0.59,0.09,11.6,27.0,48
44,0.0,24.01,11.8,-0.94,0.757,0.055999999999999994,27.0,23.3,987
45,28.77,27.63,8.4,-0.15,0.623,0.1,14.9,25.0,35
46,0.02,20.02,41.2,-0.91,0.9390000000000001,0.03,10.3,24.2,129836
