"","PRECTOT","ALLSKY_SFC_SW_DWN","DO","elev","pH","Spc","Temp","Turb","Bicarb","Brom","Si","TKN","NH","NO","OP","DP","TP","TN","FC","Chl.a","Fe","SSC","TNTP","NONH","Cyano","category"
"1",0,16.81,7.96,1420.94,8.19,896,20.7,14.4,202,0.1,4.61,0.706,0.04,0.033,0.04,0.06,0.08,0.701,2,20.7,600,41,8.76,0.81,12966,"high_alert"
"2",0.24,27.43,6.08,1422.54,8.45,755,27.1,18.3,180,0.08,9.76,0.725,0.05,0.07,0.05,0.129,0.186,0.795,1,18.8,890,16,4.27,1.4,1127,"low"
"3",0.08,28.01,7.47,1421.98,8.35,763,25.4,16.6,198,0.12,12.33,0.696,0.015,0.4,0.07,0.11,0.16,1.096,1,29.1,900,18,6.85,26.67,1437,"low"
"4",0.03,11.02,8.48,1421.55,8.33,862,17.1,23.3,201,0.05,5.53,0.889,0.12,0.15,0.03,0.04,0.09,1.039,4,11.1,200,34,11.54,1.25,4196,"medium"
"5",0.03,19.97,11.6,1418.89,8.76,915,8.4,15,207,0.1,11.99,0.67,0.05,0.105,0.063,0.06,0.11,0.775,4,32.3,690,23,7.05,2.1,1,"safe"
"6",0,22.02,12.62,1422.08,8.58,842,5.5,16.8,209,0.08,5.18,0.95,0.015,0.005,0.005,0.09,0.09,1.31,0.5,70.4,640,35,14.56,0.33,3232,"medium"
"7",16.18,15.77,7.03,1422.75,8.29,746,25.6,21,178,0.08,16.57,0.737,0.039,0.37,0.08,0.155,0.215,1.107,20,12.4,1210,20,5.15,9.49,643,"low"
"8",0.86,11.16,9.7,1421.61,8.33,776,9.7,15.1,180,0.1,11.3,0.552,0.09,0.51,0.07,0.08,0.09,1.062,24,2.8,840,13,11.8,5.67,27,"safe"
"9",0,25.79,8.29,1422.8,8.16,870,13.9,30.8,202,0.09,14.62,0.966,0.21,0.1,0.03,0.038,0.083,1.066,68,3.5,1800,36,12.84,0.48,555,"low"
"10",3.13,20.15,5.4,1423.63,7.97,628,27.9,30.4,161,0.07,20.78,0.53,0.49,0.01,0.04,0.14,0.19,0.54,11,2.3,1610,21,2.84,0.02,1,"safe"
"11",0.02,16.19,16.71,1421.66,9.1,821,0.7,9.9,205,0.09,6.88,1.076,0.015,0.14,0.01,0.015,0.1,1.216,0.5,110.2,360,12,12.16,9.33,12,"safe"
"12",0,12.55,8.79,1421.63,7.87,780,14.1,12.8,177,0.08,7.33,0.796,0.12,0.05,0.01,0.06,0.07,0.846,0.5,10.1,740,14,12.09,0.42,1,"safe"
"13",0,10.36,11.3,1414,8.61,1096,5.7,16.7,237,0.14,10.22,0.589,0.08,0.07,0.086,0.09,0.13,0.659,4,10.1,1120,28,5.07,0.88,1,"safe"
"14",0.41,25.02,6.81,1421.11,8.51,854,25,13.2,180,0.05,7.15,0.779,0.08,0.39,0.02,0.015,0.07,1.169,1,12.2,500,9,16.7,4.88,6213,"medium"
"15",0,23.14,10.37,1421.99,8.58,864,9.2,11.2,189,0.09,4.4,0.765,0.04,0.06,0.01,0.015,0.063,0.825,5,24.9,640,15,13.1,1.5,12490,"high_alert"
"16",0,26.09,7.16,1419.32,8.94,857.5,29.4,21.9,200,0.09,25.83,0.579,0.03,0.36,0.18,0.19,0.23,0.939,1,16.4,870,18,4.08,12,18719,"high_alert"
"17",0.1,26.5,8.94,1421.8,8.12,874,18.3,8.7,200,0.07,9.38,0.715,0.07,0.05,0.02,0.03,0.06,0.765,14,14.9,315,10,12.75,0.71,3237,"medium"
