,PRECTOT,ALLSKY_SFC_SW_DWN,Date,DO,TKN,DP,Turb,Temp,Cyano
0,0.9,26.86,2008-07-07,6.84,0.7490000000000001,0.07,17.7,25.4,7884
1,0.01,20.81,2005-03-16,11.31,0.772,0.015,11.1,8.5,1966
2,0.0,10.94,2014-01-15,13.22,0.595,0.08,11.5,1.0,2112
3,0.0,11.37,2014-11-20,12.65,0.667,0.015,5.5,4.1,10203
4,0.03,19.97,2012-03-12,11.6,0.67,0.06,15.0,8.4,1
5,14.17,8.11,2013-04-09,9.93,0.6729999999999999,0.015,22.1,10.9,6879
6,0.0,10.69,2010-12-06,11.75,0.551,0.19,44.9,4.2,1
7,0.5,16.99,2007-05-08,7.68,0.753,0.044000000000000004,9.5,18.1,22
8,1.32,23.14,2009-08-05,5.77,0.591,0.08,14.5,25.1,5542
9,0.0,7.95,2010-01-12,12.6,0.713,0.08,6.7,0.8,1
10,2.99,11.54,2010-09-08,7.17,0.598,0.21,40.6,23.1,268
11,13.13,27.4,2007-05-31,6.77,0.912,0.114,20.5,21.3,18
12,0.0,24.66,2005-08-30,8.41,0.805,0.055,11.4,26.8,10699
13,0.0,14.24,2015-02-10,13.65,0.6970000000000001,0.015,2.4,3.1,790
14,0.0,16.0,2013-10-21,9.21,0.664,0.08,23.8,14.5,2892
15,0.0,8.75,2007-12-19,11.72,0.596,0.061,6.2,1.9,6811
16,0.0,20.92,2007-09-12,8.1,0.672,0.06,10.7,23.8,9120
17,0.0,27.18,2015-06-09,10.12,0.608,0.03,4.3,25.0,14313
18,0.02,13.1,2006-03-29,12.7,0.747,0.015,5.5,7.7,3803
19,0.1,26.5,2005-05-16,8.94,0.715,0.03,8.7,18.3,3237
20,0.0,23.91,2009-08-24,6.23,0.634,0.08,16.4,24.3,934
21,0.0,28.34,2012-05-16,7.82,0.542,0.09,25.2,20.5,1
22,0.18,25.74,2011-07-11,7.38,0.511,0.17,37.3,27.6,657
23,0.01,16.76,2009-02-25,12.21,0.6809999999999999,0.015,4.9,5.3,1880
24,3.13,20.15,2010-07-29,5.4,0.53,0.14,30.4,27.9,1
25,0.0,14.02,2011-11-01,9.19,0.61,0.16,35.6,13.0,3288
26,0.0,11.01,2013-01-15,13.24,0.496,0.015,4.0,1.0,32993
27,0.17,27.9,2004-07-15,6.48,0.72,0.03,13.0,26.1,2645
28,5.51,7.26,2009-03-09,11.79,0.621,0.015,8.2,6.4,22
29,0.0,20.4,2013-09-25,7.58,0.6559999999999999,0.07,26.6,21.4,4107
30,0.0,10.07,2009-12-16,11.57,0.5589999999999999,0.09,12.0,0.9,1
31,13.23,9.13,2008-10-15,8.47,0.654,0.05,26.2,16.9,6623
32,0.0,25.81,2007-08-15,6.82,0.6970000000000001,0.06,16.8,27.9,2634
33,0.01,17.44,2013-03-19,11.39,0.5870000000000001,0.015,14.5,7.2,1
34,0.0,24.01,2004-09-09,5.07,0.757,0.055999999999999994,27.0,23.3,987
35,1.41,17.99,2009-07-07,5.96,0.738,0.062,10.7,25.8,4412
36,0.01,11.48,2006-01-11,14.4,0.728,0.015,5.1,4.2,8920
37,0.0,23.14,2008-04-01,10.37,0.765,0.015,11.2,9.2,12490
38,0.84,29.7,2006-07-13,7.65,0.861,0.10300000000000001,10.5,25.4,3509
39,1.66,22.72,2004-08-12,7.62,0.685,0.033,23.1,24.8,930
40,0.0,14.15,2006-03-01,14.64,0.728,0.015,1.4,3.7,1463
