,PRECTOT,ALLSKY_SFC_SW_DWN,SSC,NO,cos,DO,Si,TKN,Geo
0,0.1,26.5,10.0,0.05,-0.7,8.94,9.38,0.715,2.5
1,0.05,21.56,65.0,0.83,-0.17,9.42,37.7,0.79,3.9
2,0.0,13.53,30.0,0.141,0.58,9.96,9.37,0.653,27.9
3,0.0,29.52,12.0,0.2,-0.95,6.24,9.48,0.7709999999999999,2.5
4,0.09,10.71,48.0,0.059000000000000004,0.69,10.01,11.98,0.636,1.3
5,0.04,12.85,40.0,0.034,-0.23,8.3,10.14,0.738,0.5
6,0.41,25.02,9.0,0.39,-1.0,6.81,7.15,0.779,2.5
7,0.1,12.2,16.0,0.18,-0.13,10.63,5.72,0.8140000000000001,2.5
8,1.61,20.23,14.0,0.24,-0.93,7.72,12.22,0.73,2.5
9,12.21,22.48,16.0,0.13,-0.89,7.05,8.08,0.722,1.0
10,0.0,18.59,32.0,0.051,0.06,7.41,20.3,0.667,3.2
11,0.0,8.14,34.0,0.368,0.95,12.82,19.09,0.517,2.0
12,7.63,26.91,18.0,0.38,-0.98,6.28,16.5,0.621,1.0
13,0.0,14.24,4.0,0.005,0.76,13.65,0.71,0.6970000000000001,5.0
14,0.01,10.51,26.0,0.025,0.97,11.94,7.49,0.66,11.1
15,28.77,27.63,24.0,0.111,-0.99,4.97,5.89,0.623,4.3
16,0.96,15.84,2.6,0.17,-0.98,6.16,5.95,0.619,63.0
17,0.0,18.85,25.0,0.79,0.06,7.58,36.48,0.612,1.0
18,0.0,25.95,23.0,0.048,-0.74,8.87,7.18,0.6779999999999999,0.5
19,0.0,12.44,18.0,0.42,0.57,9.45,9.59,0.612,1.0
20,5.51,7.26,9.0,0.12,0.39,11.79,3.53,0.621,11.6
21,2.88,6.06,35.0,0.85,-0.63,8.79,28.3,0.547,1.0
22,0.0,29.63,15.0,0.22,-0.71,10.0,16.63,0.736,2.5
23,0.0,12.05,33.0,0.191,0.74,10.68,8.53,0.606,16.5
24,0.0,10.36,28.0,0.07,0.95,11.3,10.22,0.589,0.5
25,0.08,28.01,18.0,0.4,-0.99,7.47,12.33,0.696,4.7
26,0.0,8.75,6.0,0.17,0.98,11.72,2.88,0.596,2.5
27,0.13,26.1,20.0,0.18,-1.0,5.84,13.69,0.635,2.5
28,3.39,28.44,19.0,0.54,-0.89,6.92,11.01,0.677,2.5
29,0.02,27.2,13.0,0.51,-0.97,6.75,10.6,0.424,3.5
30,0.02,19.74,3.0,0.005,0.37,13.57,0.71,0.633,2.7
31,0.0,11.01,7.0,0.026000000000000002,0.97,13.24,1.47,0.496,2.8
32,0.36,22.03,18.1,0.03,-1.0,7.98,7.56,0.7859999999999999,7.0
33,0.0,10.69,9.0,0.15,0.95,10.4,7.77,0.9390000000000001,2.5
34,0.0,23.91,16.0,0.22,-0.61,6.23,8.16,0.634,1.0
35,0.01,7.99,34.0,0.12,0.24,7.74,9.19,0.6829999999999999,3.5
36,1.66,22.72,15.0,0.97,-0.74,7.62,9.48,0.685,2.5
37,4.9,17.95,12.0,0.06,-0.46,7.43,7.09,0.722,5.0
38,0.02,20.02,10.0,0.12,-0.41,8.71,3.24,0.9390000000000001,6.5
39,0.0,19.14,15.0,0.2,0.02,8.26,7.22,0.65,2.8
40,0.0,26.09,18.0,0.36,-0.87,7.16,25.83,0.579,2.0
41,0.0,18.36,26.0,0.06,-0.18,7.04,0.79,0.9079999999999999,2.5
42,0.0,14.02,23.0,0.17300000000000001,0.51,9.19,17.21,0.61,2.2
43,1.47,14.15,22.0,0.87,0.31,11.6,25.19,0.537,4.7
44,0.18,17.25,44.0,0.64,-0.15,7.54,27.86,0.526,1.0
45,0.0,14.15,4.0,0.04,0.51,14.64,14.53,0.728,5.0
46,0.0,7.95,5.0,0.68,0.98,12.6,9.82,0.713,1.0
47,0.0,23.8,32.0,0.24,-0.41,7.09,29.53,0.5770000000000001,9.0
48,0.0,11.28,10.0,0.22,0.94,15.2,6.43,0.7959999999999999,1.0
49,0.0,24.01,20.0,0.06,-0.35,5.07,5.21,0.757,2.5
50,0.24,17.27,17.5,0.02,0.58,16.22,5.44,1.227,5.0
51,0.0,28.34,24.0,0.37,-0.71,7.82,11.19,0.542,2.0
52,0.02,22.86,10.9,0.07,-0.44,6.7,7.04,0.556,4.8
53,10.72,11.71,17.0,0.07,-0.46,7.96,11.41,0.836,1.0
54,0.06,25.34,7.0,0.03,-0.87,6.8,8.92,0.741,2.5
55,13.89,24.98,9.0,0.03,-0.91,7.68,9.06,0.763,2.5
56,0.07,23.08,114.0,0.27,-0.52,5.46,31.62,0.461,5.1
57,1.02,23.88,17.0,0.07,-0.94,5.24,8.08,0.728,4.6
58,2.09,21.53,20.0,0.02,-0.55,6.79,11.96,0.7959999999999999,2.5
59,0.01,16.76,11.0,0.07,0.57,12.21,3.86,0.6809999999999999,8.2
60,0.01,25.31,20.0,0.44,-0.76,5.74,23.61,0.5770000000000001,1.0
61,13.13,27.4,11.0,0.25,-0.86,6.77,13.16,0.912,2.5
62,1.79,3.13,9.0,0.005,0.74,11.96,2.52,0.529,2.3
63,0.0,21.78,16.0,0.21,-0.22,8.01,7.71,0.635,1.0
64,0.18,25.74,32.0,0.81,-0.99,7.38,30.53,0.511,1.0
65,0.03,11.02,34.0,0.15,-0.4,8.48,5.53,0.889,2.5
66,0.07,5.81,8.0,0.41,0.76,16.8,9.24,0.7909999999999999,3.1
67,0.24,27.43,16.0,0.07,-0.81,6.08,9.76,0.725,2.5
68,10.79,20.34,11.0,0.026000000000000002,-0.58,9.39,5.68,0.615,1.7
69,0.0,20.92,12.0,0.14,-0.32,8.1,4.42,0.672,2.5
70,0.5,16.99,8.0,0.11,-0.59,7.68,4.0,0.753,2.5
71,0.0,20.69,11.0,0.01,0.28,11.47,4.71,0.821,8.6
72,0.0,23.29,33.0,0.75,-0.13,9.57,10.71,0.715,2.5
73,0.0,12.8,22.0,0.01,0.12,10.21,6.6,0.68,8.5
74,0.02,16.19,12.0,0.14,0.68,16.71,6.88,1.0759999999999998,3.8
75,3.94,22.07,19.0,0.04,-0.99,7.58,13.43,0.579,2.9
76,0.0,12.63,12.0,0.09,0.84,15.16,3.23,0.745,1.0
