,PRECTOT,ALLSKY_SFC_SW_DWN,Temp,sin,DO,Chl-a,TP,Fe,MC
0,0.0,15.8,5.2,0.75,11.45,19.8,0.04,650.0,0.05
1,0.69,14.47,17.1,-0.98,7.92,21.9,0.134,290.0,0.72
2,0.0,10.69,4.2,-0.42,11.75,1.1,0.24,2820.0,0.05
3,0.08,21.37,27.5,-0.5,6.04,10.0,0.18,620.0,0.22
4,25.6,11.66,22.7,0.31,6.32,2.2,0.153,1600.0,0.05
5,0.0,8.75,1.9,-0.21,11.72,4.5,0.066,320.0,0.05
6,0.05,17.71,18.1,-0.98,9.18,18.8,0.05,117.0,0.38
7,0.0,25.95,17.9,0.67,8.87,11.9,0.07,840.0,0.13
8,0.07,23.08,25.7,-0.85,5.46,0.9,0.27,1530.0,0.23
9,9.26,23.15,23.7,0.52,8.21,16.1,0.069,270.0,0.05
10,0.02,20.02,24.2,-0.91,8.71,41.2,0.11199999999999999,490.0,2.65
11,5.97,28.66,23.5,0.21,6.01,6.5,0.08,1270.0,0.1
12,0.0,12.63,0.7,0.54,15.16,47.2,0.015,270.0,0.05
13,4.9,17.95,25.1,-0.89,7.43,10.9,0.09,700.0,0.05
14,0.15,20.21,19.4,-0.98,7.92,32.9,0.26,1730.0,0.65
15,0.0,28.68,25.4,0.06,6.92,4.9,0.12,1100.0,0.39
16,0.41,25.02,25.0,0.06,6.81,12.2,0.07,500.0,0.21
17,2.99,11.54,23.1,-0.92,7.17,1.8,0.23,2280.0,0.1
18,0.0,10.37,0.5,0.22,14.64,13.6,0.04,210.0,0.05
19,1.41,17.99,25.8,-0.09,5.96,20.2,0.091,540.0,0.13
20,0.0,28.51,16.1,0.83,9.4,2.2,0.113,231.0,0.14
21,0.0,28.2,24.2,-0.11,7.57,26.6,0.09,1160.0,3.0
22,0.0,18.01,2.4,0.88,16.95,73.5,0.08,300.0,0.05
23,0.03,11.02,17.1,0.92,8.48,11.1,0.09,200.0,0.05
24,0.0,5.79,0.8,0.1,13.19,21.1,0.06,380.0,0.05
25,0.0,10.07,0.9,-0.26,11.57,2.8,0.1,660.0,0.05
26,0.0,28.19,26.7,0.03,4.87,3.6,0.13,1150.0,0.05
27,0.0,20.69,6.4,0.96,11.47,27.5,0.03,490.0,0.05
28,0.02,16.38,6.4,0.93,12.36,12.3,0.08,425.0,0.14
29,0.02,22.86,25.9,-0.9,6.7,5.2,0.11,125.0,0.2
30,0.0,28.34,20.5,0.71,7.82,6.0,0.1,1130.0,0.1
31,0.02,6.47,1.6,0.76,13.78,5.7,0.08,380.0,0.11
32,0.0,20.92,23.8,-0.95,8.1,18.6,0.11,510.0,0.63
33,0.55,22.69,10.3,0.96,9.62,9.6,0.08199999999999999,1020.0,0.05
34,0.0,22.35,26.3,-0.93,6.94,19.6,0.17,540.0,0.43
35,0.01,7.99,18.9,-0.97,7.74,11.7,0.096,1130.0,0.28
36,0.66,16.34,22.2,-0.99,7.52,16.6,0.11,830.0,0.68
37,0.0,10.48,5.3,-0.46,10.96,6.7,0.09,770.0,0.05
38,9.12,25.74,26.0,-0.57,7.83,21.0,0.12,760.0,7.3
39,14.17,8.11,10.9,0.99,9.93,13.5,0.07,1020.0,0.05
40,0.0,25.22,25.9,-0.56,6.26,17.4,0.1,450.0,0.37
41,0.3,15.67,17.7,-0.96,7.86,1.6,0.22,2950.0,0.05
