,PRECTOT,ALLSKY_SFC_SW_DWN,Date,Temp,sin,DO,TP,Fe,MC
0,0.24,27.43,2007-08-07,27.1,-0.59,6.08,0.18600000000000003,890.0,0.66
1,0.0,28.2,2013-07-08,24.2,-0.11,7.57,0.09,1160.0,3.0
2,0.0,11.37,2014-11-20,4.1,-0.65,12.65,0.06,280.0,0.2
3,0.01,29.2,2012-06-11,23.7,0.33,7.44,0.14,1320.0,0.4
4,0.0,15.0,2011-02-14,1.6,0.7,12.72,0.21,1310.0,0.05
5,0.01,7.99,2007-10-15,18.9,-0.97,7.74,0.096,1130.0,0.28
6,0.0,12.44,2008-11-04,12.7,-0.82,9.45,0.09,990.0,0.11
7,0.14,24.34,2011-08-15,26.4,-0.69,5.3,0.22,1410.0,0.91
8,3.39,28.44,2008-06-03,22.8,0.46,6.92,0.087,1050.0,0.05
9,0.0,13.39,2007-11-13,11.9,-0.74,9.61,0.067,890.0,0.1
10,0.01,25.18,2012-04-16,16.2,0.96,8.8,0.08,3600.0,0.05
11,0.06,18.43,2009-09-02,23.2,-0.88,6.64,0.08900000000000001,210.0,0.05
12,0.0,14.24,2015-02-10,3.1,0.65,13.65,0.05,50.0,0.12
13,0.15,20.21,2011-09-20,19.4,-0.98,7.92,0.26,1730.0,0.65
14,0.01,10.51,2014-12-16,5.1,-0.26,11.94,0.06,990.0,0.05
15,0.0,14.15,2006-03-01,3.7,0.86,14.64,0.015,80.0,0.05
16,1.1,20.14,2011-08-08,27.7,-0.6,6.6,0.22,1130.0,8.99
17,0.01,24.57,2012-08-21,23.4,-0.77,6.64,0.15,1040.0,0.19
18,0.0,10.37,2015-01-13,0.5,0.22,14.64,0.04,210.0,0.05
19,0.0,25.3,2014-04-16,11.6,0.97,8.56,0.05,430.0,0.19
20,0.0,11.01,2013-01-15,1.0,0.26,13.24,0.015,160.0,0.05
21,9.26,23.15,2006-05-31,23.7,0.52,8.21,0.069,270.0,0.05
22,0.0,18.59,2011-10-04,18.4,-1.0,7.41,0.22,1770.0,0.19
23,13.23,9.13,2008-10-15,16.9,-0.97,8.47,0.1,1290.0,0.05
24,0.03,11.02,2006-04-25,17.1,0.92,8.48,0.09,200.0,0.05
25,0.02,16.38,2004-03-10,6.4,0.93,12.36,0.08,425.0,0.14
26,0.02,13.1,2006-03-29,7.7,1.0,12.7,0.065,590.0,0.05
27,0.02,19.74,2015-03-10,2.5,0.93,13.57,0.04,50.0,0.05
28,0.5,16.99,2007-05-08,18.1,0.81,7.68,0.092,480.0,0.1
29,13.89,24.98,2006-07-26,26.8,-0.41,7.68,0.08199999999999999,360.0,0.18
30,0.0,18.85,2010-10-04,19.6,-1.0,7.58,0.23,3280.0,0.05
31,0.02,22.86,2002-09-04,25.9,-0.9,6.7,0.11,125.0,0.2
32,0.03,19.97,2012-03-12,8.4,0.95,11.6,0.11,690.0,0.05
33,10.72,11.71,2009-04-29,14.9,0.89,7.96,0.08,1230.0,0.05
34,0.18,17.25,2010-09-22,23.1,-0.99,7.54,0.26,2490.0,0.05
35,0.07,5.81,2010-02-10,0.6,0.65,16.8,0.09,380.0,0.05
36,0.0,22.35,2013-09-09,26.3,-0.93,6.94,0.17,540.0,0.43
37,0.47,12.7,2008-02-11,1.9,0.66,12.63,0.03,120.0,0.15
38,0.02,16.19,2010-02-17,0.7,0.74,16.71,0.1,360.0,0.05
39,1.02,23.88,2009-07-21,25.4,-0.33,5.24,0.11,940.0,0.05
40,14.17,8.11,2013-04-09,10.9,0.99,9.93,0.07,1020.0,0.05
41,0.0,12.63,2009-02-02,0.7,0.54,15.16,0.015,270.0,0.05
42,0.84,29.7,2006-07-13,25.4,-0.2,7.65,0.092,550.0,0.17
43,0.0,18.01,2010-03-03,2.4,0.88,16.95,0.08,300.0,0.05
44,0.0,21.1,2012-09-19,20.4,-0.98,7.95,0.16,1140.0,0.1
45,0.0,29.02,2003-07-17,27.4,-0.26,8.38,0.125,266.0,0.11
46,0.92,21.24,2005-07-13,26.8,-0.2,8.2,0.10099999999999999,318.0,1.74
47,0.0,27.45,2013-06-06,21.3,0.43,7.17,0.1,1240.0,0.05
48,0.0,12.05,2013-11-18,9.3,-0.67,10.68,0.07,1140.0,0.12
49,0.01,28.89,2011-06-13,23.2,0.31,7.31,0.14,2550.0,0.05
50,0.0,10.69,2010-12-06,4.2,-0.42,11.75,0.24,2820.0,0.05
51,1.32,23.14,2009-08-05,25.1,-0.56,5.77,0.1,860.0,0.05
52,0.0,12.55,2010-04-12,14.1,0.98,8.79,0.07,740.0,0.05
53,5.51,7.26,2009-03-09,6.4,0.92,11.79,0.04,350.0,0.05
54,0.05,21.56,2011-04-11,14.4,0.99,9.42,0.19,3630.0,0.05
55,9.12,25.74,2013-08-06,26.0,-0.57,7.83,0.12,760.0,7.3
56,0.62,9.86,2005-09-07,25.2,-0.92,5.82,0.04,355.0,2.08
57,1.47,14.15,2011-03-14,5.2,0.95,11.6,0.17,1100.0,0.05
58,7.63,26.91,2010-07-14,27.1,-0.21,6.28,0.14,1330.0,0.05
59,3.88,22.54,2006-08-10,27.7,-0.63,8.03,0.081,500.0,1.61
60,0.0,21.78,2008-09-17,20.3,-0.98,8.01,0.11,860.0,0.11
61,0.0,27.57,2008-07-21,26.3,-0.35,7.65,0.1,900.0,1.06
62,4.9,17.95,2008-09-02,25.1,-0.89,7.43,0.09,700.0,0.05
63,0.01,11.48,2006-01-11,4.2,0.19,14.4,0.015,268.0,0.05
64,0.0,28.68,2012-06-27,25.4,0.06,6.92,0.12,1100.0,0.39
65,0.0,22.02,2014-03-19,5.5,0.97,12.62,0.09,640.0,0.18
66,0.0,11.28,2009-01-20,0.9,0.34,15.2,0.04,410.0,0.05
67,0.0,14.02,2011-11-01,13.0,-0.86,9.19,0.22,1370.0,0.14
68,0.0,15.84,2007-03-07,6.9,0.91,12.36,0.111,400.0,0.05
69,0.0,20.4,2013-09-25,21.4,-1.0,7.58,0.1,1060.0,0.47
70,0.29,12.1,2008-08-18,24.6,-0.74,5.36,0.11,730.0,0.19
71,0.02,14.3,2012-02-14,1.8,0.7,12.63,0.158,1020.0,0.11
72,0.0,27.76,2014-07-22,25.2,-0.35,6.78,0.12,680.0,0.45
73,12.21,22.48,2008-07-28,26.7,-0.46,7.05,0.09,660.0,0.43
74,5.97,28.66,2008-06-18,23.5,0.21,6.01,0.08,1270.0,0.1
75,0.66,16.34,2007-09-24,22.2,-0.99,7.52,0.11,830.0,0.68
76,0.0,24.66,2005-08-30,26.8,-0.85,8.41,0.11,469.0,2.28
77,0.0,11.2,2013-01-23,2.1,0.39,13.13,0.015,140.0,0.05
78,25.6,11.66,2007-06-13,22.7,0.31,6.32,0.153,1600.0,0.05
79,0.0,18.36,2006-09-20,20.8,-0.98,7.04,0.08800000000000001,9700.0,1.25
80,0.0,10.94,2014-01-15,1.0,0.26,13.22,0.09,540.0,0.11
81,0.0,20.92,2007-09-12,23.8,-0.95,8.1,0.11,510.0,0.63
82,0.0,24.54,2013-08-19,24.1,-0.74,5.69,0.19,840.0,1.1
83,0.0,24.62,2009-04-08,7.7,0.99,10.83,0.09,980.0,0.05
84,0.0,28.51,2004-05-05,16.1,0.83,9.4,0.113,231.0,0.14
85,0.0,23.29,2004-04-08,14.6,0.99,9.57,0.08,415.0,0.26
86,2.88,6.06,2011-05-11,17.5,0.77,8.79,0.18,1980.0,0.05
87,0.13,26.1,2005-06-29,25.1,0.04,5.84,0.166,1081.0,0.05
88,0.04,17.17,2009-09-16,22.0,-0.97,6.54,0.09,370.0,2.91
89,0.01,16.76,2009-02-25,5.3,0.82,12.21,0.04,390.0,0.05
90,0.0,13.53,2013-11-06,11.5,-0.81,9.96,0.11,1280.0,0.14
91,0.0,28.34,2012-05-16,20.5,0.71,7.82,0.1,1130.0,0.1
92,16.18,15.77,2007-07-09,25.6,-0.13,7.03,0.215,1210.0,0.22
93,0.08,21.37,2012-07-31,27.5,-0.5,6.04,0.18,620.0,0.22
94,0.0,10.36,2012-12-11,5.7,-0.32,11.3,0.13,1120.0,0.05
95,0.0,29.52,2006-06-14,24.4,0.3,6.24,0.17,290.0,0.05
96,1.61,20.23,2007-07-23,27.0,-0.36,7.72,0.16699999999999998,890.0,0.61
97,0.09,3.3,2011-12-12,2.9,-0.32,12.11,0.18,1670.0,0.12
98,0.0,10.69,2006-12-12,3.9,-0.32,10.4,0.08800000000000001,200.0,0.05
99,0.0,10.48,2008-12-02,5.3,-0.46,10.96,0.09,770.0,0.05
100,0.3,15.67,2010-10-18,17.7,-0.96,7.86,0.22,2950.0,0.05
101,0.0,12.16,2009-03-03,4.4,0.88,12.27,0.05,380.0,0.05
102,0.1,7.59,2010-11-15,10.2,-0.71,10.19,0.22,2850.0,0.05
103,0.0,7.2,2011-01-18,0.5,0.3,12.74,0.25,1990.0,0.05
104,0.0,26.09,2011-08-01,29.4,-0.5,7.16,0.23,870.0,2.16
105,0.01,21.98,2010-03-22,5.8,0.98,11.57,0.06,700.0,0.05
106,3.94,22.07,2012-07-09,27.8,-0.15,7.58,0.16,850.0,0.79
107,0.1,12.2,2007-04-09,11.3,0.99,10.63,0.12,690.0,0.05
108,0.01,25.31,2010-08-12,28.6,-0.66,5.74,0.2,1680.0,0.05
109,0.01,17.44,2013-03-19,7.2,0.97,11.39,0.07,640.0,0.1
110,0.0,22.39,2007-06-25,24.5,0.11,6.4,0.22699999999999998,1060.0,0.05
111,0.05,17.71,2005-10-13,18.1,-0.98,9.18,0.05,117.0,0.38
112,0.0,23.14,2008-04-01,9.2,1.0,10.37,0.063,640.0,0.12
113,0.0,8.75,2007-12-19,1.9,-0.21,11.72,0.066,320.0,0.05
