LAT,LON,YEAR,MO,DY,PRECTOT,ALLSKY_SFC_SW_DWN,WS10M_RANGE,Date
37.72531,-97.79759,2002,8,7,0,22.07,3.32,2002-08-07
37.72531,-97.79759,2002,8,8,0.18,23.9,4.28,2002-08-08
37.72531,-97.79759,2002,8,9,4.11,17.39,2.55,2002-08-09
37.72531,-97.79759,2002,8,10,1.27,11.7,3.06,2002-08-10
37.72531,-97.79759,2002,8,11,14.62,23.22,4.99,2002-08-11
37.72531,-97.79759,2002,8,12,30.14,17.6,6.25,2002-08-12
37.72531,-97.79759,2002,8,13,25.92,9.14,6.79,2002-08-13
37.72531,-97.79759,2002,8,14,0,27.9,4.4,2002-08-14
37.72531,-97.79759,2002,8,15,0.2,18.9,2.43,2002-08-15
37.72531,-97.79759,2002,8,16,0.17,15.73,3.71,2002-08-16
37.72531,-97.79759,2002,8,17,1.19,13.1,4.8,2002-08-17
37.72531,-97.79759,2002,8,18,0.53,21.71,6.86,2002-08-18
37.72531,-97.79759,2002,8,19,0.69,22.86,5.26,2002-08-19
37.72531,-97.79759,2002,8,20,2.38,19.08,3.67,2002-08-20
37.72531,-97.79759,2002,8,21,1.38,20.48,4.08,2002-08-21
37.72531,-97.79759,2002,8,22,3.93,22.5,2.19,2002-08-22
37.72531,-97.79759,2002,8,23,10.89,21.31,3.31,2002-08-23
37.72531,-97.79759,2002,8,24,17.79,16.27,5.42,2002-08-24
37.72531,-97.79759,2002,8,25,0.1,22.68,3.38,2002-08-25
37.72531,-97.79759,2002,8,26,2.74,23.87,2.16,2002-08-26
37.72531,-97.79759,2002,8,27,0.13,21.82,2.46,2002-08-27
37.72531,-97.79759,2002,8,28,0.28,21.78,1.85,2002-08-28
37.72531,-97.79759,2002,8,29,0.26,19.84,2.64,2002-08-29
37.72531,-97.79759,2002,8,30,0,18.9,2.7,2002-08-30
37.72531,-97.79759,2002,8,31,0.02,19.55,2.91,2002-08-31
37.72531,-97.79759,2002,9,1,0,21.96,3.12,2002-09-01
37.72531,-97.79759,2002,9,2,0,21.53,7.54,2002-09-02
37.72531,-97.79759,2002,9,3,0.01,23.44,2.18,2002-09-03
37.72531,-97.79759,2002,9,4,0.02,22.86,2.42,2002-09-04
37.72531,-97.79759,2002,9,5,0.01,22.21,3.39,2002-09-05
37.72531,-97.79759,2002,9,6,0.01,21.92,3.19,2002-09-06
37.72531,-97.79759,2002,9,7,0.01,21.49,4.2,2002-09-07
37.72531,-97.79759,2002,9,8,0.1,21.38,5.91,2002-09-08
37.72531,-97.79759,2002,9,9,0.16,11.16,4.19,2002-09-09
37.72531,-97.79759,2002,9,10,0.07,18.79,4.79,2002-09-10
37.72531,-97.79759,2002,9,11,0,20.66,2.67,2002-09-11
37.72531,-97.79759,2002,9,12,4.26,12.92,2.09,2002-09-12
37.72531,-97.79759,2002,9,13,9.39,7.02,2.82,2002-09-13
37.72531,-97.79759,2002,9,14,8.71,5.47,5.53,2002-09-14
