LAT,LON,YEAR,MO,DY,PRECTOT,ALLSKY_SFC_SW_DWN,Date
37.72531,-97.79759,2002,8,7,0,22.07,2002-08-07
37.72531,-97.79759,2002,8,8,0.18,23.9,2002-08-08
37.72531,-97.79759,2002,8,9,4.11,17.39,2002-08-09
37.72531,-97.79759,2002,8,10,1.27,11.7,2002-08-10
37.72531,-97.79759,2002,8,11,14.62,23.22,2002-08-11
37.72531,-97.79759,2002,8,12,30.14,17.6,2002-08-12
37.72531,-97.79759,2002,8,13,25.92,9.14,2002-08-13
37.72531,-97.79759,2002,8,14,0,27.9,2002-08-14
37.72531,-97.79759,2002,8,15,0.2,18.9,2002-08-15
37.72531,-97.79759,2002,8,16,0.17,15.73,2002-08-16
37.72531,-97.79759,2002,8,17,1.19,13.1,2002-08-17
37.72531,-97.79759,2002,8,18,0.53,21.71,2002-08-18
37.72531,-97.79759,2002,8,19,0.69,22.86,2002-08-19
37.72531,-97.79759,2002,8,20,2.38,19.08,2002-08-20
37.72531,-97.79759,2002,8,21,1.38,20.48,2002-08-21
37.72531,-97.79759,2002,8,22,3.93,22.5,2002-08-22
37.72531,-97.79759,2002,8,23,10.89,21.31,2002-08-23
37.72531,-97.79759,2002,8,24,17.79,16.27,2002-08-24
37.72531,-97.79759,2002,8,25,0.1,22.68,2002-08-25
37.72531,-97.79759,2002,8,26,2.74,23.87,2002-08-26
37.72531,-97.79759,2002,8,27,0.13,21.82,2002-08-27
37.72531,-97.79759,2002,8,28,0.28,21.78,2002-08-28
37.72531,-97.79759,2002,8,29,0.26,19.84,2002-08-29
37.72531,-97.79759,2002,8,30,0,18.9,2002-08-30
37.72531,-97.79759,2002,8,31,0.02,19.55,2002-08-31
37.72531,-97.79759,2002,9,1,0,21.96,2002-09-01
37.72531,-97.79759,2002,9,2,0,21.53,2002-09-02
37.72531,-97.79759,2002,9,3,0.01,23.44,2002-09-03
37.72531,-97.79759,2002,9,4,0.02,22.86,2002-09-04
37.72531,-97.79759,2002,9,5,0.01,22.21,2002-09-05
37.72531,-97.79759,2002,9,6,0.01,21.92,2002-09-06
37.72531,-97.79759,2002,9,7,0.01,21.49,2002-09-07
37.72531,-97.79759,2002,9,8,0.1,21.38,2002-09-08
37.72531,-97.79759,2002,9,9,0.16,11.16,2002-09-09
37.72531,-97.79759,2002,9,10,0.07,18.79,2002-09-10
37.72531,-97.79759,2002,9,11,0,20.66,2002-09-11
37.72531,-97.79759,2002,9,12,4.26,12.92,2002-09-12
37.72531,-97.79759,2002,9,13,9.39,7.02,2002-09-13
37.72531,-97.79759,2002,9,14,8.71,5.47,2002-09-14
37.72531,-97.79759,2002,9,15,0,23.4,2002-09-15
37.72531,-97.79759,2002,9,16,0,22,2002-09-16
37.72531,-97.79759,2002,9,17,0.42,20.92,2002-09-17
37.72531,-97.79759,2002,9,18,7.45,17.93,2002-09-18
37.72531,-97.79759,2002,9,19,4.96,4.25,2002-09-19
37.72531,-97.79759,2002,9,20,0,21.85,2002-09-20
37.72531,-97.79759,2002,9,21,0.06,21.35,2002-09-21
37.72531,-97.79759,2002,9,22,0,21.38,2002-09-22
37.72531,-97.79759,2002,9,23,0,20.84,2002-09-23
37.72531,-97.79759,2002,9,24,0.12,20.3,2002-09-24
37.72531,-97.79759,2002,9,25,0,20.38,2002-09-25
37.72531,-97.79759,2002,9,26,0,18.72,2002-09-26
37.72531,-97.79759,2002,9,27,0,16.45,2002-09-27
37.72531,-97.79759,2002,9,28,0.04,16.63,2002-09-28
37.72531,-97.79759,2002,9,29,0,19.04,2002-09-29
37.72531,-97.79759,2002,9,30,0.54,18.68,2002-09-30
37.72531,-97.79759,2002,10,1,4.2,11.59,2002-10-01
37.72531,-97.79759,2002,10,2,72.26,3.02,2002-10-02
37.72531,-97.79759,2002,10,3,33.37,6.08,2002-10-03
37.72531,-97.79759,2002,10,4,0.42,20.38,2002-10-04
37.72531,-97.79759,2002,10,5,0.16,19.94,2002-10-05
37.72531,-97.79759,2002,10,6,0.09,18.76,2002-10-06
37.72531,-97.79759,2002,10,7,0.01,19.15,2002-10-07
37.72531,-97.79759,2002,10,8,0.62,7.09,2002-10-08
37.72531,-97.79759,2002,10,9,0.08,17.82,2002-10-09
37.72531,-97.79759,2002,10,10,0,17.46,2002-10-10
37.72531,-97.79759,2002,10,11,0.07,8.39,2002-10-11
37.72531,-97.79759,2002,10,12,0.36,10.94,2002-10-12
37.72531,-97.79759,2002,10,13,0,17.96,2002-10-13
37.72531,-97.79759,2002,10,14,0.01,18.68,2002-10-14
37.72531,-97.79759,2002,10,15,0.01,18.29,2002-10-15
37.72531,-97.79759,2002,10,16,0.52,4.68,2002-10-16
37.72531,-97.79759,2002,10,17,0,17.6,2002-10-17
37.72531,-97.79759,2002,10,18,1.76,10.08,2002-10-18
37.72531,-97.79759,2002,10,19,1.59,9.86,2002-10-19
37.72531,-97.79759,2002,10,20,0.02,17.82,2002-10-20
37.72531,-97.79759,2002,10,21,0.96,10.55,2002-10-21
37.72531,-97.79759,2002,10,22,8.17,9.54,2002-10-22
37.72531,-97.79759,2002,10,23,15.35,3.24,2002-10-23
37.72531,-97.79759,2002,10,24,11.35,2.81,2002-10-24
37.72531,-97.79759,2002,10,25,2.57,6.91,2002-10-25
37.72531,-97.79759,2002,10,26,1.57,10.58,2002-10-26
37.72531,-97.79759,2002,10,27,17.15,5.04,2002-10-27
37.72531,-97.79759,2002,10,28,3.2,4.5,2002-10-28
37.72531,-97.79759,2002,10,29,2.79,4.43,2002-10-29
37.72531,-97.79759,2002,10,30,0.46,4.68,2002-10-30
37.72531,-97.79759,2002,10,31,0.12,4.1,2002-10-31
37.72531,-97.79759,2002,11,1,0.18,5.58,2002-11-01
37.72531,-97.79759,2002,11,2,2.42,3.78,2002-11-02
37.72531,-97.79759,2002,11,3,0.5,9.18,2002-11-03
37.72531,-97.79759,2002,11,4,0.73,9.9,2002-11-04
37.72531,-97.79759,2002,11,5,0,7.45,2002-11-05
37.72531,-97.79759,2002,11,6,0.01,14.58,2002-11-06
37.72531,-97.79759,2002,11,7,0,14.83,2002-11-07
37.72531,-97.79759,2002,11,8,0,12.89,2002-11-08
37.72531,-97.79759,2002,11,9,0,11.48,2002-11-09
37.72531,-97.79759,2002,11,10,0,12.2,2002-11-10
37.72531,-97.79759,2002,11,11,0.08,13.03,2002-11-11
37.72531,-97.79759,2002,11,12,0,13.86,2002-11-12
37.72531,-97.79759,2002,11,13,0.03,12.82,2002-11-13
37.72531,-97.79759,2002,11,14,2.9,3.74,2002-11-14
37.72531,-97.79759,2002,11,15,0.05,9.29,2002-11-15
37.72531,-97.79759,2002,11,16,0,12.74,2002-11-16
37.72531,-97.79759,2002,11,17,0.1,12.85,2002-11-17
37.72531,-97.79759,2002,11,18,0.03,12.53,2002-11-18
37.72531,-97.79759,2002,11,19,0.14,10.51,2002-11-19
37.72531,-97.79759,2002,11,20,1.26,12.17,2002-11-20
37.72531,-97.79759,2002,11,21,0.05,11.95,2002-11-21
37.72531,-97.79759,2002,11,22,0,11.92,2002-11-22
37.72531,-97.79759,2002,11,23,0,11.34,2002-11-23
37.72531,-97.79759,2002,11,24,0.01,10.15,2002-11-24
37.72531,-97.79759,2002,11,25,0,9.22,2002-11-25
37.72531,-97.79759,2002,11,26,0,9.04,2002-11-26
37.72531,-97.79759,2002,11,27,0,11.34,2002-11-27
37.72531,-97.79759,2002,11,28,0,11.45,2002-11-28
37.72531,-97.79759,2002,11,29,0,6.91,2002-11-29
37.72531,-97.79759,2002,11,30,0,11.09,2002-11-30
37.72531,-97.79759,2002,12,1,0,11.81,2002-12-01
37.72531,-97.79759,2002,12,2,0.01,11.7,2002-12-02
37.72531,-97.79759,2002,12,3,5.6,4.1,2002-12-03
37.72531,-97.79759,2002,12,4,4.04,3.17,2002-12-04
37.72531,-97.79759,2002,12,5,0.06,2.7,2002-12-05
37.72531,-97.79759,2002,12,6,0.09,3.74,2002-12-06
37.72531,-97.79759,2002,12,7,0.11,3.35,2002-12-07
37.72531,-97.79759,2002,12,8,0.1,5.15,2002-12-08
37.72531,-97.79759,2002,12,9,0,7.42,2002-12-09
37.72531,-97.79759,2002,12,10,0.08,5.11,2002-12-10
37.72531,-97.79759,2002,12,11,0.76,3.28,2002-12-11
37.72531,-97.79759,2002,12,12,7.14,1.26,2002-12-12
37.72531,-97.79759,2002,12,13,0.02,11.3,2002-12-13
37.72531,-97.79759,2002,12,14,0.12,11.12,2002-12-14
37.72531,-97.79759,2002,12,15,0.02,10.94,2002-12-15
37.72531,-97.79759,2002,12,16,0.16,10.66,2002-12-16
37.72531,-97.79759,2002,12,17,0.05,8.96,2002-12-17
37.72531,-97.79759,2002,12,18,0.02,10.91,2002-12-18
37.72531,-97.79759,2002,12,19,0.01,10.84,2002-12-19
37.72531,-97.79759,2002,12,20,0,11.41,2002-12-20
37.72531,-97.79759,2002,12,21,0.01,9.9,2002-12-21
37.72531,-97.79759,2002,12,22,0.09,8.64,2002-12-22
