LAT,LON,YEAR,MO,DY,T2M
37.72531,-97.79759,2002,8,7,29.45
37.72531,-97.79759,2002,8,8,28.69
37.72531,-97.79759,2002,8,9,28.01
37.72531,-97.79759,2002,8,10,26.11
37.72531,-97.79759,2002,8,11,27.2
37.72531,-97.79759,2002,8,12,25.64
37.72531,-97.79759,2002,8,13,18.94
37.72531,-97.79759,2002,8,14,21.55
37.72531,-97.79759,2002,8,15,25.57
37.72531,-97.79759,2002,8,16,26.8
37.72531,-97.79759,2002,8,17,27.15
37.72531,-97.79759,2002,8,18,28.2
37.72531,-97.79759,2002,8,19,28.6
37.72531,-97.79759,2002,8,20,28.94
37.72531,-97.79759,2002,8,21,28.03
37.72531,-97.79759,2002,8,22,29.37
37.72531,-97.79759,2002,8,23,28.86
37.72531,-97.79759,2002,8,24,25.08
37.72531,-97.79759,2002,8,25,25.3
37.72531,-97.79759,2002,8,26,24.81
37.72531,-97.79759,2002,8,27,24.82
37.72531,-97.79759,2002,8,28,25.97
37.72531,-97.79759,2002,8,29,25.91
37.72531,-97.79759,2002,8,30,25.17
37.72531,-97.79759,2002,8,31,25.98
37.72531,-97.79759,2002,9,1,27.53
37.72531,-97.79759,2002,9,2,29.1
37.72531,-97.79759,2002,9,3,28.23
37.72531,-97.79759,2002,9,4,28.69
37.72531,-97.79759,2002,9,5,28.43
37.72531,-97.79759,2002,9,6,28.34
37.72531,-97.79759,2002,9,7,27.97
37.72531,-97.79759,2002,9,8,26.4
37.72531,-97.79759,2002,9,9,25.25
37.72531,-97.79759,2002,9,10,24.39
37.72531,-97.79759,2002,9,11,22.61
37.72531,-97.79759,2002,9,12,23.48
37.72531,-97.79759,2002,9,13,23.1
37.72531,-97.79759,2002,9,14,21.03
37.72531,-97.79759,2002,9,15,17.93
37.72531,-97.79759,2002,9,16,19.34
37.72531,-97.79759,2002,9,17,23.1
37.72531,-97.79759,2002,9,18,25.75
37.72531,-97.79759,2002,9,19,16.88
37.72531,-97.79759,2002,9,20,19.46
37.72531,-97.79759,2002,9,21,20.24
37.72531,-97.79759,2002,9,22,16.12
37.72531,-97.79759,2002,9,23,17.55
37.72531,-97.79759,2002,9,24,17.6
37.72531,-97.79759,2002,9,25,18.89
37.72531,-97.79759,2002,9,26,19.46
37.72531,-97.79759,2002,9,27,16.51
37.72531,-97.79759,2002,9,28,22.84
37.72531,-97.79759,2002,9,29,24.45
37.72531,-97.79759,2002,9,30,25.28
37.72531,-97.79759,2002,10,1,24.72
37.72531,-97.79759,2002,10,2,17.66
37.72531,-97.79759,2002,10,3,18.22
37.72531,-97.79759,2002,10,4,14.86
37.72531,-97.79759,2002,10,5,14.85
37.72531,-97.79759,2002,10,6,14.72
37.72531,-97.79759,2002,10,7,10.98
37.72531,-97.79759,2002,10,8,13.78
37.72531,-97.79759,2002,10,9,15.06
37.72531,-97.79759,2002,10,10,15.11
37.72531,-97.79759,2002,10,11,15.84
37.72531,-97.79759,2002,10,12,12.31
37.72531,-97.79759,2002,10,13,8.39
37.72531,-97.79759,2002,10,14,9.35
37.72531,-97.79759,2002,10,15,9.79
37.72531,-97.79759,2002,10,16,6.18
